29,61,2.9,6.1
78,82,7.8,8.2
53,104,5.3,10.4
133,85,13.3,8.5
78,83,7.8,8.3
74,81,7.4,8.1
126,78,12.6,7.8
120,94,12.0,9.4
110,94,11.0,9.4
99,128,9.9,12.8
98,168,9.8,16.8
61,196,6.1,19.6
65,170,6.5,17.0
162,120,16.2,12.0
175,120,17.5,12.0
175,120,17.5,12.0
171,120,17.1,12.0
141,120,14.1,12.0
130,120,13.0,12.0
126,107,12.6,10.7
113,122,11.3,12.2
71,147,7.1,14.7
21,199,2.1,19.9
35,140,3.5,14.0
67,119,6.7,11.9
72,95,7.2,9.5
72,77,7.2,7.7
63,72,6.3,7.2
20,70,2.0,7.0
22,70,2.2,7.0
23,70,2.3,7.0
73,82,7.3,8.2
61,141,6.1,14.1
62,215,6.2,21.5
69,187,6.9,18.7
71,167,7.1,16.7
80,125,8.0,12.5
81,92,8.1,9.2
80,93,8.0,9.3
75,142,7.5,14.2
76,202,7.6,20.2
39,209,3.9,20.9
29,190,2.9,19.0
25,151,2.5,15.1
30,149,3.0,14.9
33,77,3.3,7.7
33,71,3.3,7.1
36,124,3.6,12.4
30,115,3.0,11.5
55,120,5.5,12.0
57,69,5.7,6.9
51,123,5.1,12.3
53,122,5.3,12.2
54,120,5.4,12.0
53,178,5.3,17.8
52,179,5.2,17.9
54,177,5.4,17.7
56,179,5.6,17.9
60,178,6.0,17.8
72,62,7.2,6.2
32,91,3.2,9.1
101,123,10.1,12.3
115,124,11.5,12.4
122,176,12.2,17.6
104,125,10.4,12.5
120,124,12.0,12.4
135,121,13.5,12.1
145,121,14.5,12.1
155,120,15.5,12.0
164,120,16.4,12.0
174,120,17.4,12.0
188,122,18.8,12.2
193,116,19.3,11.6
209,109,20.9,10.9
232,101,23.2,10.1
260,96,26.0,9.6
276,88,27.6,8.8
311,75,31.1,7.5
17,24,1.7,2.4
25,59,2.5,5.9
37,76,3.7,7.6
59,87,5.9,8.7
52,99,5.2,9.9
35,94,3.5,9.4
33,111,3.3,11.1
33,124,3.3,12.4
34,93,3.4,9.3
31,68,3.1,6.8
110,28,11.0,2.8
105,63,10.5,6.3
117,75,11.7,7.5
119,88,11.9,8.8
130,89,13.0,8.9
140,106,14.0,10.6
141,114,14.1,11.4
139,118,13.9,11.8
134,131,13.4,13.1
104,134,10.4,13.4
124,148,12.4,14.8
121,174,12.1,17.4
112,169,11.2,16.9
73,174,7.3,17.4
80,173,8.0,17.3
78,179,7.8,17.9
74,168,7.4,16.8
76,171,7.6,17.1
73,168,7.3,16.8
79,170,7.9,17.0
83,182,8.3,18.2
62,178,6.2,17.8
61,125,6.1,12.5
59,105,5.9,10.5
